ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
CAP.PA,Capgemini SE,Technology,17513232384.0,13.405337,7.689235,1.5290298,3.26,1.279,87.509,0.12202,0.0550929112181693,0.05866,0.088,-0.307,1901874944.0,25691623424.0,3083000064.0,2501000000.0,22465000000.0,10186000384.0,2279000064.0,68.998,29060000000.0,9496000000.0,,7855000000.0,1601000000.0,2482000000.0,0.270420654351213,,169742028.0,0.06512081060015588,0.27389572773352644,1.2089115213239974,1.2074198988195615,0.3254645560908465,0.23682774746687452,0.7730557467309016,0.8611067809820733,169951043.0,198000000.0,105.5,[],{},0.10859645451501822,8.333319134176962,10.272540353458616,0.09734690403657693,0.07459715484959462,,0.11794388116010375,1.0,20,20,0.8166666666666667,9.0,22.0,0.56015,0.56015,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5979666666666666,True,0.9,0.8667,strong_buy,4,5,stable,0.8417,persistent,2026-08-16
SAN.PA,Sanofi,Healthcare,89363939328.0,23.092878,8.217092,1.2912663,5.56,0.987,33.89,0.05709,0.061614289657347894,0.08091,0.146,-0.912,6298999808.0,106949967872.0,13543000064.0,9597000000.0,46716000000.0,23576000512.0,6350000128.0,57.765,126805000000.0,30952000000.0,,28345000000.0,7813000000.0,10750000000.0,0.720673859063276,,1207641512.0,0.04186810042319915,0.7018245043580364,1.09197389310284,1.4603936629860779,0.16031702219944008,0.13483636801759064,0.36840818579709,0.33348393801111464,1253591640.0,626000000.0,74.59,[],{},0.07048704270835969,7.897066186708098,11.144104185891424,0.08973354729274809,0.04330339423262878,,0.09747105423522243,1.0,20,20,0.7833333333333333,9.0,22.0,0.6011272727272727,0.6011272727272727,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6668816666666666,True,0.9,0.8667,strong_buy,4,7,stable,0.825,persistent,2026-07-26
TEP.PA,Teleperformance SE,Industrials,4064703488.0,8.839443,4.9403753,0.9694012,6.45,1.395,120.367,0.11395001,0.04329645439498214,0.04651,-0.046,-0.116,1155487488.0,8043403264.0,1575299968.0,1152000000.0,10209400000.0,5047000064.0,1068300032.0,72.127,11479000000.0,3636000000.0,,3071000000.0,497000000.0,1614000000.0,0.3164142848747233,,58144060.0,0.043316216663905914,0.32615420533473416,1.1839791598827742,1.116597263533611,0.42826030141998433,0.40641046877588205,0.8893980311873857,0.8513997018386615,59152361.0,267000000.0,69.92,[],{},0.28427350024701237,5.105950249089322,6.982120888888889,0.14322295702318277,0.1131293001154032,,0.13701236917221693,1.0,20,20,0.8488636363636364,12.0,22.0,0.6937863636363636,0.6937863636363636,0.5454545454545454,0.0,1.0,0.5454545454545454,22.0,4,5,"cheapness,dividend,garp,risk",0.6772283333333333,True,0.9,0.9261,strong_buy,4,7,stable,0.71,persistent,2026-07-26
DG.PA,Vinci SA,Industrials,61898412032.0,12.425082,11.164944,2.028006,4.56,0.825,120.742,0.16318001,0.036846653890955545,0.06713,0.023,0.108,8071124992.0,91473289216.0,12780000256.0,9004000000.0,75702000000.0,41346998272.0,15564000256.0,55.202,133065000000.0,49554000000.0,,58097000000.0,4903000000.0,11886000000.0,0.6000501968243904,,555967094.0,0.03755473353360465,0.5818903913808268,0.8529528202833193,0.8527792415459815,0.28326006087250594,0.2800271833563723,0.5689099312366137,0.561954112641033,562417394.0,1510000000.0,111.95,[],{},0.1303930864628227,7.157534224074432,10.159183609062639,0.09843310628896758,0.08048236623307597,,0.12010457795326006,1.0,20,20,0.6916666666666668,11.0,22.0,0.5988272727272727,0.5988272727272727,0.5,0.0,1.0,0.5,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6370549999999999,True,0.8,0.7235,strong_buy,4,7,stable,0.7076,persistent,2026-07-26
TTE.PA,TotalEnergies SE,Energy,173541785600.0,11.287356,8.817593,1.5707238,4.54,1.061,48.045,0.14479999,0.04510144130834379,0.09083,0.278,1.06,13531374592.0,208477257728.0,39650000896.0,19925000000.0,182344000000.0,62917001216.0,31716999168.0,50.01516,291055000000.0,89469000000.0,,92563000000.0,13127000000.0,27343000000.0,0.2843361997104374,,2142883014.0,0.05519690914122184,0.28389141659424366,0.9665741170878213,1.0978967712596635,0.20639054474240265,0.17949678969620333,0.6264932744670252,0.6851800607383174,2248149843.0,2558000000.0,78.56,[],{},0.0779718529760247,5.257938285419604,10.463099509560854,0.09557397395353368,0.08859470721043972,,0.10038187937045322,1.0,20,20,0.6718983268983268,13.0,22.0,0.7201181818181819,0.7201181818181819,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7869133333333334,True,0.9,0.6848,buy,3,4,stable,0.6783,persistent,2026-09-19
SGO.PA,Compagnie de Saint-Gobain S.A.,Industrials,34260289536.0,13.005566,10.289364,1.3505703,3.33,1.272,66.318,0.11038999,0.047389703465053584,0.057779998,-0.011,-0.12,3101625088.0,46461755392.0,6579999744.0,4953000000.0,46483000000.0,17269999616.0,5751000064.0,51.904,60836000000.0,21360000000.0,,16844000000.0,2883000000.0,5638000000.0,0.27835983047565777,,492707578.0,0.046080559966298326,0.2766313800433746,1.2681073379244836,1.345002108814846,0.29142284173844435,0.28904047441589165,0.7640706160825826,0.7545772708124048,496879548.0,950000000.0,70.1,[],{},0.0905311989480088,7.061057325171835,9.38052804199475,0.10660380689905725,0.07689015610700833,,0.1125886524822695,1.0,20,20,0.6056818181818181,10.0,22.0,0.5955318181818182,0.5955318181818182,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6376133333333334,True,1.0,0.6602,buy,3,20,stable,0.6329,persistent,2026-07-18
ORA.PA,Orange S.A.,Communication Services,39906484224.0,10.14527,12.794513,1.2539669,4.99,0.867,161.477,0.14163,0.0050086114602243634,0.09983,0.055,,6392249856.0,88518410240.0,12103000064.0,4160000000.0,40397000000.0,56751001600.0,11459999744.0,11.974,107415000000.0,28898000000.0,,25937000000.0,538000000.0,10780000000.0,0.5943263113597544,,2658599751.0,0.02262356316306294,0.5864527186467622,1.11416123684312,0.9208083993263338,0.07002746357585067,0.0709128367060092,0.3760834147930922,0.3875753316518089,2658220599.0,1341000000.0,15.015,[],{},0.16018073203641583,7.31375772716843,21.278464,0.04699587338634969,0.09856810119395541,,0.05105672696924323,1.0,20,20,0.7743902549165707,9.0,22.0,0.5528818181818183,0.5528818181818183,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,quality,dividend,risk",0.5389416666666667,True,0.9,0.7921,strong_buy,4,6,stable,0.6266,persistent,2026-08-02
RI.PA,Pernod Ricard SA,Consumer Defensive,15018161152.0,12.503144,10.051809,0.9699454,7.91,2.474,76.644,0.07563,0.03225460492801029,0.12792,-0.132,-0.478,1152875008.0,26734221312.0,2624000000.0,2412000000.0,9403000000.0,12677000192.0,1992999936.0,61.488,37297000000.0,12403000000.0,,5014000000.0,1203000000.0,1579000000.0,0.5842816122514092,,251812562.0,0.04385113268608414,0.5945797974267725,2.4736737136019147,1.915968992248062,0.3396519827331957,0.3395091693635383,0.2521114298737164,0.2955501618122977,251655310.0,494000000.0,59.64,[],{},0.0767653906714451,10.188346536585366,11.083839681592039,0.09022144209292315,0.07997988345971221,,0.07471424588792863,1.0,20,20,0.7375,9.0,22.0,0.6391909090909091,0.6391909090909091,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,4,5,"cheapness,dividend,garp,risk",0.6854733333333334,True,0.9,0.8125,strong_buy,4,4,stable,0.62,persistent,2026-09-19
VIE.PA,Veolia Environnement SA,Industrials,23449286656.0,18.372093,12.078542,2.3594415,4.73,0.818,250.259,0.13434,0.017220642130435396,0.027880002,0.007,0.056,2206125056.0,50016636928.0,5768999936.0,3498000000.0,44396000000.0,33780000768.0,9509000192.0,13.393,70671000000.0,25864000000.0,,30039000000.0,1217000000.0,5153000000.0,0.17733579601765925,,731284707.0,0.015049548376485424,0.1738118678958203,0.8610140151136856,0.9067166612324747,0.28569002844165214,0.27364684274729645,0.6282067609061709,0.6125632204388767,730001228.0,876000000.0,31.6,[],{},0.09408068946248802,8.66989729292311,14.298638344196684,0.06993672935338384,0.05443037981573466,,0.08608978145304194,1.0,20,20,0.5897727272727271,6.0,22.0,0.4881272727272727,0.4881272727272727,0.2727272727272727,0.0,1.0,0.2727272727272727,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.5681983333333334,True,0.7,0.6307,buy,3,6,stable,0.6102,persistent,2026-08-02
MC.PA,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,199897399296.0,18.473803,16.156948,2.9363632,3.23,1.631,53.306,0.16586,0.07658567837957715,0.13658,-0.029,0.008,11537125376.0,226487730176.0,20053999616.0,17668000000.0,80807000000.0,37150998528.0,12213999616.0,138.096,142037000000.0,48179000000.0,,30416000000.0,10878000000.0,18875000000.0,0.6624178598388754,,496391012.0,0.08412091963268316,0.6703195484282374,1.584001841136244,1.4088022317188984,0.2586016319691348,0.27617802801796365,0.5689151418292416,0.5676117702258865,499372818.0,1151000000.0,405.5,[],{},0.057715234998711964,11.293893213965044,12.819092719945665,0.0780086408489788,0.054130706059818866,,0.15828562725651982,1.0,20,20,0.6108333333333332,10.0,22.0,0.5568045454545454,0.5568045454545454,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.64098,True,1.0,0.6075,buy,3,13,stable,0.6092,persistent,2026-07-20
