ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score,models_passed,model_count,mean_model_score,weighted_model_score,weighted_pass_score,min_model_score,max_model_score,pass_rate,weight_sum,families_passed,family_count,passed_families,family_mean_score,risk_family_passed,risk_mean_score,composite_score,signal,signal_rank,weeks_at_signal,signal_trend,conviction_score,stability_label,signal_since
FME.DE,Fresenius Medical Care AG,Healthcare,10503349248.0,11.888555,9.1027975,0.8364769,3.79,1.071,81.131,0.08524,0.03155785082367833,0.048270002,0.014,0.055,2022340224.0,21429258240.0,2721596928.0,1826824000.0,19627602000.0,10978023424.0,1061251008.0,47.186,31002333000.0,7898400000.0,,6245103000.0,978367000.0,2680999000.0,0.2562171884267879,,279288885.0,0.01602525535890923,0.24600095087332072,1.2647349451242038,1.3997632533930735,0.3482191162839261,0.32707855036403916,0.6331008056716247,0.5760464597837033,293413449.0,384409000.0,39.47,[],{},0.19254241444795192,7.87378102155177,11.730335401768315,0.08524905433217646,0.08411451181409346,,0.07378951522444151,1.0,20,20,0.8916666666666667,13.0,22.0,0.6776954545454544,0.6776954545454544,0.5909090909090909,0.0,1.0,0.5909090909090909,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.667865,True,0.9,0.9333,strong_buy,4,22,stable,0.9125,persistent,2026-07-18
DHL.DE,DHL AG,Industrials,63958200320.0,17.567074,15.144148,2.8696647,3.24,1.03,122.614,0.18090001,0.049297361232363626,0.04344,0.128,0.286,5425375232.0,87805706240.0,8397000192.0,5313000000.0,82855000000.0,27971999744.0,4291000064.0,20.079,71018000000.0,20946000000.0,,21410000000.0,3501000000.0,9119000000.0,0.164455977309758,,1119243239.0,0.04768515205724508,0.1562574238608828,0.9783278841662775,0.951631949364697,0.3583176096200963,0.32117352415026834,1.1666760539581515,1.2048372093023256,1153216427.0,1107000000.0,57.62,[],{},0.08482689013848725,10.456794597153202,16.526577496706192,0.06050859593883269,0.05692467624375009,,0.10709966134494436,1.0,20,20,0.8125000000000001,9.0,22.0,0.5508090909090909,0.5508090909090909,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6521733333333334,True,0.8,0.875,strong_buy,4,9,stable,0.8438,persistent,2026-07-26
HEI.DE,Heidelberg Materials AG,Basic Materials,25350633472.0,12.550043,10.00281,1.3604543,2.44,1.374,50.409,0.11698,0.05370652203990149,0.091680005,0.017,0.088,1235725056.0,34531487744.0,4081900032.0,3058700000.0,21460200000.0,9983099904.0,2192199936.0,105.994,36139000000.0,8602400000.0,,6960700000.0,1940900000.0,3254800000.0,0.6420769610721242,,176365065.0,0.04776725993721466,0.6392675502448432,1.235852715962475,1.267609902599639,0.22446387559146627,0.21971920850792323,0.5938238468136916,0.5671698608910586,178430760.0,286900000.0,144.2,[],{},0.04874533243379773,8.459660323205092,11.289596149998365,0.08857712771241553,0.07968100188979432,,0.10482790292786077,1.0,20,20,0.7625,10.0,22.0,0.5980545454545454,0.5980545454545454,0.45454545454545453,0.0,1.0,0.45454545454545453,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6645383333333333,True,1.0,0.75,strong_buy,4,15,stable,0.7562,persistent,2026-07-20
DTE.DE,Deutsche Telekom AG,Communication Services,129513086976.0,15.213484,10.634162,2.1639764,3.69,1.033,165.297,0.15063,0.03316089712840228,0.07013,0.043,-0.05,17394624512.0,299083628544.0,42652000256.0,25612000000.0,118343000000.0,146755993600.0,5373000192.0,12.514,289769000000.0,41177000000.0,,36848000000.0,9609000000.0,40627000000.0,0.6107585577516202,,4838022420.0,0.03675877402979005,0.6113229839024941,1.1174826313504125,1.0562503552953215,0.48473784290244987,0.47599152603514205,0.4084046257536175,0.37749480215390874,4900429250.0,6547000000.0,27.08,[],{},0.1343078519564852,7.012182939812463,11.677480421052632,0.08563491129449122,0.06573116322336159,,0.10126482182183369,1.0,20,20,0.6863051209103841,8.0,22.0,0.5691409090909092,0.5691409090909092,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.631875,True,0.9,0.7044,buy,3,7,stable,0.6954,persistent,2026-08-16
BAS.DE,BASF SE,Basic Materials,44965949440.0,21.945377,17.585445,1.2470751,4.34,1.855,71.358,0.061160002,0.021253971171265786,0.094239995,0.164,52.989,1055000000.0,65124646912.0,6568000000.0,2860000000.0,59656000000.0,26684999680.0,7887000064.0,41.882,76174000000.0,31684000000.0,,16411000000.0,1619000000.0,5610000000.0,0.24069666085557195,,892522164.0,0.016141267176521795,0.24769298374102827,1.9306562671378953,1.832971418510476,0.30468401291779346,0.2983896039296151,0.7831543571297293,0.7640738668158925,892522164.0,982000000.0,52.23,[],{},0.023462197799420024,9.915445632155908,22.770855563636363,0.04391578512302092,0.04556768379964491,,0.047855696668507273,1.0,20,20,0.625,8.0,22.0,0.5321863636363635,0.5321863636363635,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.73117,True,1.0,0.7,buy,3,22,stable,0.6625,persistent,2026-07-18
HNR1.DE,Hannover Rück SE,Financial Services,30511075328.0,11.165049,10.734385,2.2999372,4.95,0.196,28.967,0.22163,0.0370336099462897,0.12060001,-0.233,-0.165,6808162304.0,28523413504.0,3442299904.0,3546400000.0,24017800000.0,4143899904.0,7219599872.0,110.003,71327100000.0,,,,2641500000.0,5686900000.0,,,120597134.0,0.032285972163106066,,,,0.058074700920127134,0.06473138464908572,0.3367275551648672,0.33150831931876,120597134.0,133600000.0,253.0,[],{},0.22313740931156734,8.286150044874184,8.042920568463794,0.12433294491568017,0.08956521373081301,,,0.95,19,20,0.6916666666666668,15.0,22.0,0.6759272727272727,0.6759272727272727,0.6818181818181818,0.0,1.0,0.6818181818181818,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.7395666666666667,True,0.9,0.6833,buy,3,9,stable,0.6531,persistent,2026-07-26
MUV2.DE,Münchener Rückversicherungs-Gesellschaft Aktiengesellschaft in München,Financial Services,62982721536.0,9.306562,9.705825,1.8766636,4.78,0.276,24.378,0.21299,0.02185515157144184,0.11163,0.013,0.098,6889625088.0,65803350016.0,,8995000000.0,62310000000.0,8222000128.0,5818999808.0,266.75,279934000000.0,,,,6118000000.0,4906000000.0,,,127961889.0,0.0199132808736149,,,,0.02655625968978402,0.02206729460065214,0.222588181499925,0.2249111512976449,131406411.0,369000000.0,500.6,[],{},0.10938912958948577,,7.315547528182323,0.13669516822187439,0.10745106517315417,,,0.9,18,20,0.7222222222222222,14.0,22.0,0.6902136363636364,0.6902136363636364,0.6363636363636364,0.0,1.0,0.6363636363636364,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.738875,True,0.9,0.7255,strong_buy,4,7,stable,0.6515,persistent,2026-08-16
FRE.DE,Fresenius SE & Co. KGaA,Healthcare,25813165436.228256,16.545128,11.588831,1.3103646,2.3,1.28,55.978,0.08287,0.030535088778838024,0.06538,0.052,0.172,1710125056.0,36884090880.0,3039000064.0,2181400000.0,22873000000.0,11418999808.0,1279000064.0,34.975,41395000000.0,11027000000.0,,8383000000.0,1264000000.0,2574000000.0,0.2488960783456477,,563237277.0,0.010815154994259472,0.2567641432085269,1.3154002147202672,1.2705072705072704,0.28827153037806497,0.31175660160734786,0.5525546563594637,0.5041102181400688,563237277.0,445000000.0,45.83,[],{},0.06625011024800058,12.136916782901391,16.908449106078667,0.0591420297465659,0.06044075331420827,,0.06607900157518479,1.0,20,20,0.6083333333333334,8.0,22.0,0.5408727272727272,0.5408727272727272,0.36363636363636365,0.0,1.0,0.36363636363636365,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.6385416666666667,True,1.0,0.6167,buy,3,22,stable,0.6125,persistent,2026-07-18
HEN3.DE,Henkel AG & Co. KGaA,Consumer Defensive,30533855232.0,16.046808,12.743502,1.4577012,2.75,1.199,31.879,0.09395,0.06255187040850828,0.09359,-0.005,-0.081,1460875008.0,32495472640.0,3254000128.0,2765000000.0,20495000000.0,6717000192.0,4421000192.0,51.739,32533000000.0,10070000000.0,,8418000000.0,2035000000.0,2535000000.0,0.5084654793852159,,406787036.0,0.05693940081706764,0.5012508107106458,1.1962461392254693,1.214081408140814,0.11397657762886915,0.1014525646845211,0.6299757169643132,0.6124035406264186,419361799.0,116000000.0,75.42,[],{},0.04784443356071781,9.986315722726363,11.752431334538878,0.0850887762314449,0.0623176895990779,,0.11465892597968069,1.0,20,20,0.5837315351789035,9.0,22.0,0.5894227272727272,0.5894227272727272,0.4090909090909091,0.0,1.0,0.4090909090909091,22.0,5,5,"cheapness,quality,dividend,garp,risk",0.66414,True,1.0,0.6019,buy,3,22,stable,0.5928,persistent,2026-07-18
DTG.DE,Daimler Truck Holding AG,Industrials,32119005184.0,29.13793,8.80667,1.423038,4.4,1.7,127.015,0.05047,0.02716117468633669,0.057239998,0.053,4.308,5422875136.0,51527868416.0,3755000064.0,2755000000.0,45530000000.0,29135998976.0,10346000384.0,29.69,72530000000.0,40646000000.0,,22133000000.0,1970000000.0,4336000000.0,0.18976499011640677,,765600399.0,0.03926666125057546,0.200406593187571,1.836443319929517,1.6292420455026904,0.38124913828760515,0.3571370541879925,0.6277402454156901,0.6793538603190078,781773636.0,425000000.0,42.25,[],{},0.16883695821006908,13.722468052666324,18.703400513974593,0.05346621322966546,0.03431952784566371,,0.05466595233843284,1.0,20,20,0.6875000000000001,7.0,22.0,0.4827090909090909,0.4827090909090909,0.3181818181818182,0.0,1.0,0.3181818181818182,22.0,4,5,"cheapness,dividend,garp,risk",0.6222216666666667,True,0.8,0.775,strong_buy,4,7,stable,0.585,persistent,2026-08-16
