ticker,name,sector,market_cap,trailing_pe,forward_pe,price_to_book,dividend_yield,current_ratio,debt_to_equity,return_on_equity,return_on_assets,profit_margins,revenue_growth,earnings_growth,free_cashflow,enterprise_value,ebitda,ebit,total_revenue,total_debt,total_cash,book_value,total_assets,total_current_assets,total_liabilities,total_current_liabilities,net_income,operating_cashflow,gross_margin,ncav,shares_outstanding,return_on_assets_prev,gross_margin_prev,current_ratio_bs,current_ratio_bs_prev,leverage,leverage_prev,asset_turnover,asset_turnover_prev,shares_outstanding_prev,interest_expense,last_price,errors,data_sources,fcf_yield,ev_ebitda,ev_ebit,earnings_yield_ebit,earnings_yield_pe,ncav_to_market,roic_proxy,data_quality_score,metrics_present,metrics_total,sector_composite_score
ABN.AS,ABN AMRO Bank N.V.,Financial Services,30437849088.0,14.704724,10.595324,1.1152916,3.32,,,0.08442,0.005450013310423271,0.26496,0.036,0.158,,79730835456.0,,,8732000000.0,120400003072.0,71414996992.0,33.489,413210000000.0,,,,2252000000.0,,,,823201264.0,0.0062407965780800784,,,,0.19220977227075822,0.21176116162442507,0.021132112001161638,0.023103673058094208,833048566.0,8121000000.0,37.35,[],{},,,,,0.06800535664593228,,,0.65,13,20,0.5000000000000001
ADYEN.AS,Adyen N.V.,Technology,26273216512.0,24.816801,17.93921,4.9708824,,1.722,4.775,0.22329001,0.08668834869386088,0.44712,0.169,0.119,534254016.0,15698055168.0,1196995968.0,1096267000.0,2646897000.0,252366000.0,10827529216.0,167.596,12256849000.0,11689803000.0,,6787358000.0,1062526000.0,,0.8884433357248128,,31536692.0,0.08097509041135888,0.8931407741100045,1.7222906173506687,1.551525949324971,0.02058979432642109,0.01997815545686018,0.21595248501470485,0.19479620585195337,31485187.0,19700000.0,833.1,[],{},0.020334549283525502,13.114543062520992,14.319554604854474,0.0698345743003061,0.04029528221626953,,0.20043309331709294,0.9,18,20,0.8235294117647058
AGN.AS,Aegon,Financial Services,11684023296.0,13.169999,8.577756,1.5867469,5.32,7.997,56.935,0.10421,0.0030797552587530303,0.080129996,-0.137,-0.467,-204500000.0,16839975936.0,,1051000000.0,26864000000.0,5406000128.0,603000000.0,4.98,317233000000.0,,,,977000000.0,,,,1512525453.0,0.0021014691957604082,,,,0.011754767000911001,0.015257032896545404,0.08468223671560021,0.05962002504658053,1592499013.0,6000000.0,7.902,[],{},-0.017502532716620833,,16.022812498572787,0.062411015549802745,0.07593015003266135,,,0.85,17,20,0.5851851851851851
AD.AS,Koninklijke Ahold Delhaize N.V.,Consumer Defensive,32004257792.0,14.404761,12.259165,2.161229,4.02,0.772,131.305,0.14973,0.04612031208621076,0.02476,-0.043,0.033,2654374912.0,47519023104.0,5391000064.0,3082000000.0,92352000000.0,19420000256.0,3865999872.0,16.796,49089000000.0,11923000000.0,,16794000000.0,2264000000.0,,0.2654409216909217,,886877259.0,0.034026465028355386,0.26640330360240383,0.7099559366440396,0.8350195447229248,0.3748905050011204,0.39186373982485245,1.88131760679582,1.7236410632305852,913583817.0,823000000.0,36.3,[],{},0.08293818057744509,8.814509838596061,15.418242408825439,0.06485823568499595,0.06942149196366396,,0.09543272952469423,0.95,19,20,0.8166666666666667
AKZA.AS,Akzo Nobel N.V.,Basic Materials,9863454720.0,15.906078,13.432589,2.0207765,3.44,1.716,120.894,0.13149999,0.045513188073394495,0.062529996,-0.087,-0.129,689875008.0,13113453568.0,1072000000.0,1164000000.0,10158000000.0,6110000128.0,3032999936.0,28.494,13952000000.0,6061000000.0,,4207000000.0,635000000.0,,0.39860208702500494,,171069142.0,0.038037757035581446,0.40491083932405936,1.4406940812930829,1.2338266384778012,0.34848050458715596,0.37672819145203174,0.7280676605504587,0.7517018738157064,170784638.0,211000000.0,57.58,[],{},0.06994253307628101,12.232699223880598,11.265853580756014,0.0887638023015113,0.0628690491773019,,0.11944586967675731,0.95,19,20,0.7875000000000001
MT.AS,ArcelorMittal S.A.,Basic Materials,43719340032.0,17.255953,9.055497,0.9082443,0.88,1.386,23.917,0.054330003,0.03226103599684759,0.047119997,0.045,-0.279,-2022875008.0,55464779776.0,4392999936.0,1461000000.0,61352000000.0,13683000320.0,4359000064.0,63.83745,97703000000.0,30605000000.0,,22520000000.0,3152000000.0,,0.07132611813795801,,761125819.0,0.014980142082004811,0.09269550455630114,1.3590142095914743,1.346254295532646,0.13725269439014154,0.12936174973429546,0.6279438707102136,0.6985623986127426,768546622.0,577000000.0,57.98,[],{},-0.046269568719916034,12.625718320975636,37.96357274195756,0.026341040312435983,0.05795101551331299,,0.01943258449383504,0.95,19,20,0.48750000000000004
ASM.AS,ASM International NV,Technology,42501554176.0,43.10362,31.314238,9.910291,0.37,2.245,1.679,0.24936001,0.13560052463931047,0.31006,0.028,,59450000.0,41591889920.0,1090700032.0,938100000.0,3173200000.0,72000000.0,981600000.0,87.727,5337000000.0,2345800000.0,,1041400000.0,723700000.0,,0.5179629396193117,,48881549.0,0.13283868343051977,0.5051317898182562,2.252544651430766,2.012414597567072,0.0026044594341390294,0.0022666072570177646,0.5945662357129473,0.5681435130475213,49097817.0,900000.0,869.4,[],{},0.0013987723779186065,38.133206839403485,44.33630734463277,0.022554877929432643,0.023199907571568236,,0.21838625570351056,0.95,19,20,0.43750000000000006
ASML.AS,ASML Holding N.V.,Technology,590361722880.0,60.607254,30.5058,28.438736,0.51,1.334,9.092,0.53942,0.19003452872053886,0.30114,0.213,0.285,8437675008.0,584764620800.0,13488400384.0,11301400000.0,32667300000.0,1984400000.0,7581499904.0,54.046,50566600000.0,30616100000.0,,24263900000.0,9609400000.0,,0.5282958799778371,,385417665.0,0.1558275845036798,0.512757006535069,1.2617963311751201,1.532930368951794,0.08683399714436012,0.09647331939345045,0.6460252419581305,0.5816656239195219,393283720.0,118300000.0,1537.0,[],{},0.014292381570468256,43.3531481978879,51.74267089033217,0.019326408606148014,0.01649967510489751,,0.42966691632417964,0.95,19,20,0.5
ASRNL.AS,ASR Nederland N.V.,Financial Services,14393643008.0,32.25,11.079002,1.4093227,4.9,5.013,239.303,0.05647,0.003855055539531906,0.032,0.095,-0.594,990000000.0,-53769449472.0,6451999744.0,6364000000.0,13109000000.0,24227000320.0,92259000320.0,49.428,142151000000.0,,,,548000000.0,,,,204558568.0,0.006912874687910407,,,,0.0627079654733347,0.07715287699701259,0.09221883771482438,0.12950455326088525,208902381.0,5668000000.0,69.66,[],{},0.0687803636264813,-8.333764972945417,-8.449002116907605,-0.11835717238120508,0.031007751937984496,,,0.9,18,20,0.4833333333333333
BESI.AS,BE Semiconductor Industries N.V.,Technology,17855424512.0,117.44792,35.799675,39.10857,0.7,4.735,113.605,0.3127,0.11819650243726806,0.24002,0.283,0.635,151480624.0,17776836608.0,208790000.0,173056000.0,591331000.0,519112992.0,611438016.0,5.766,1113747000.0,856984000.0,,154325000.0,131641000.0,,0.6329348537451952,,79281785.0,0.14742449427935417,0.6517886391658559,5.553111939089583,5.979153067152157,0.4680039542194053,0.4412471364368364,0.5309383549405745,0.4920897611618209,79312140.0,25070000.0,225.5,[],{},0.008483731310795507,85.1421840509603,102.72302958579881,0.009734915374207842,0.00851441217520072,,0.1803752676090396,0.95,19,20,0.3375
DSFIR.AS,DSM-Firmenich AG,Basic Materials,21320884224.0,71.28925,21.819635,1.1892682,2.9,1.59,28.644,0.01663,-0.036837621400579314,-0.11966,,,-32125000.0,25250011136.0,1438000000.0,632000000.0,9034000000.0,5277000192.0,1903000064.0,72.532,29345000000.0,8893000000.0,,5593000000.0,-1081000000.0,,0.3907460704007084,,251530397.0,0.0074080659021542655,0.3924232383476916,1.590023243339889,2.018119266055046,0.17982620548645425,0.1564583518534981,0.3078548304651559,0.2682905147124189,265272203.0,159000000.0,86.26,[],{},-0.0015067386353441324,17.55911761891516,39.95254926582278,0.02502969193145943,0.014027360366394653,,0.026608285618053215,0.95,19,20,0.36250000000000004
EXO.AS,Exor N.V.,Industrials,22612985856.0,,54.48254,0.41856533,0.71,4.275,11.155,-0.10617,-0.10215459197414489,0.0,,,-2074625024.0,16216347648.0,,,-3591000000.0,3708000000.0,1408000000.0,164.371,37130000000.0,,,,-3793000000.0,,,,202231958.0,0.34552520018841265,0.0,,0.31186752529898804,0.0987880420145435,0.09632595383890721,-0.09671424723942904,0.3606453132359868,213742459.0,100000000.0,68.8,[],{},-0.09174485126428056,,,,,,,0.75,15,20,0.3076923076923077
